Date,Open,High,Low,Close,Adj Close,Volume
1993-02-01,43.96875,44.25,43.96875,44.25,25.11878204345703,480500
1993-02-02,44.21875,44.375,44.125,44.34375,25.171998977661133,201300
1993-02-03,44.40625,44.84375,44.375,44.8125,25.438091278076172,529400
1993-02-04,44.96875,45.09375,44.46875,45.0,25.544538497924805,531500
1993-02-05,44.96875,45.0625,44.71875,44.96875,25.526798248291016,492100
1993-02-08,44.96875,45.125,44.90625,44.96875,25.526798248291016,596100
1993-02-09,44.8125,44.8125,44.5625,44.65625,25.34941864013672,122100
1993-02-10,44.65625,44.75,44.53125,44.71875,25.38487434387207,379600
1993-02-11,44.78125,45.125,44.78125,44.9375,25.509048461914062,19500
1993-02-12,44.875,44.875,44.59375,44.59375,25.31391143798828,42500
1993-02-16,44.46875,44.46875,43.40625,43.46875,24.675312042236328,374800
1993-02-17,43.46875,43.53125,43.28125,43.4375,24.65756607055664,210900
1993-02-18,43.9375,43.9375,42.8125,43.40625,24.639835357666016,378100
1993-02-19,43.40625,43.5625,43.34375,43.5625,24.728513717651367,34900
1993-02-22,43.6875,43.78125,43.5625,43.71875,24.817211151123047,513600
1993-02-23,43.84375,43.875,43.46875,43.6875,24.79947853088379,373700
1993-02-24,43.71875,44.25,43.71875,44.25,25.11878204345703,26300
1993-02-25,44.21875,44.375,44.125,44.34375,25.171998977661133,44500
1993-02-26,44.4375,44.4375,44.1875,44.40625,25.207494735717773,66200
1993-03-01,44.5625,44.5625,44.21875,44.28125,25.136533737182617,66500
1993-03-02,44.3125,44.9375,44.25,44.9375,25.509048461914062,182400
1993-03-03,45.0,45.15625,44.9375,45.125,25.615476608276367,280100
1993-03-04,45.1875,45.1875,44.875,44.875,25.473560333251953,89500
1993-03-05,44.9375,45.125,44.71875,44.75,25.402603149414062,40000
1993-03-08,44.84375,45.75,44.84375,45.75,25.970285415649414,50800
1993-03-09,45.65625,45.6875,45.5,45.59375,25.88157844543457,169300
1993-03-10,45.59375,45.6875,45.40625,45.6875,25.934789657592773,194400
1993-03-11,45.71875,45.84375,45.5,45.5625,25.863832473754883,70900
1993-03-12,45.1875,45.21875,44.8125,45.09375,25.597747802734375,643600
1993-03-15,45.0625,45.3125,45.0625,45.3125,25.721912384033203,310800
1993-03-16,45.3125,45.4375,45.3125,45.3125,25.721912384033203,30800
1993-03-17,45.25,45.25,44.96875,45.03125,25.56226921081543,21800
1993-03-18,45.21875,45.5,45.21875,45.3125,25.721912384033203,59300
1993-03-19,45.28125,45.28125,45.03125,45.03125,25.682998657226562,66900
1993-03-22,44.59375,44.875,44.5625,44.78125,25.5404109954834,183400
1993-03-23,44.90625,44.9375,44.8125,44.875,25.593875885009766,55200
1993-03-24,44.8125,45.0625,44.59375,44.875,25.593875885009766,37200
1993-03-25,44.90625,45.25,44.84375,45.15625,25.754283905029297,110100
1993-03-26,45.125,45.15625,44.875,44.90625,25.611705780029297,101500
1993-03-29,44.9375,45.3125,44.9375,45.09375,25.71865463256836,87100
1993-03-30,45.15625,45.21875,45.09375,45.21875,25.789947509765625,56000
1993-03-31,45.34375,45.46875,45.1875,45.1875,25.772111892700195,111600
1993-04-01,45.25,45.25,44.9375,45.03125,25.682998657226562,129500
1993-04-02,44.65625,44.65625,44.09375,44.09375,25.14829444885254,59400
1993-04-05,44.4375,44.4375,44.1875,44.3125,25.27307891845703,172200
1993-04-06,44.40625,44.40625,44.0625,44.1875,25.201770782470703,129700
